Date,Open,High,Low,Close,Adj Close,Volume
2016-03-07,1.850000,1.870000,1.720000,1.740000,1.740000,424400
2016-03-08,1.730000,1.730000,1.670000,1.680000,1.680000,315200
2016-03-09,1.680000,1.740000,1.650000,1.710000,1.710000,155900
2016-03-10,1.740000,1.740000,1.680000,1.690000,1.690000,160300
2016-03-11,1.710000,1.760000,1.700000,1.760000,1.760000,250000
2016-03-14,1.760000,1.870000,1.750000,1.830000,1.830000,229300
2016-03-15,1.830000,1.830000,1.710000,1.720000,1.720000,152100
2016-03-16,1.730000,1.760000,1.700000,1.720000,1.720000,112700
2016-03-17,1.730000,1.850000,1.690000,1.710000,1.710000,146700
2016-03-18,1.750000,1.810000,1.710000,1.800000,1.800000,448900
2016-03-21,1.790000,1.820000,1.710000,1.720000,1.720000,123700
2016-03-22,1.720000,1.740000,1.680000,1.690000,1.690000,125200
2016-03-23,1.700000,1.760000,1.630000,1.630000,1.630000,253300
2016-03-24,1.600000,1.630000,1.570000,1.600000,1.600000,169000
2016-03-28,1.590000,1.630000,1.580000,1.580000,1.580000,136300
2016-03-29,1.590000,1.700000,1.590000,1.690000,1.690000,236700
2016-03-30,1.710000,1.770000,1.650000,1.670000,1.670000,167900
2016-03-31,1.680000,1.730000,1.660000,1.660000,1.660000,165000
2016-04-01,1.620000,1.730000,1.620000,1.690000,1.690000,162600
2016-04-04,1.700000,1.740000,1.640000,1.640000,1.640000,158300
2016-04-05,1.640000,1.660000,1.630000,1.640000,1.640000,174300
2016-04-06,1.640000,1.690000,1.640000,1.690000,1.690000,142700
2016-04-07,1.670000,1.710000,1.640000,1.640000,1.640000,163500
2016-04-08,1.650000,1.830000,1.590000,1.760000,1.760000,764500
2016-04-11,1.850000,1.890000,1.800000,1.830000,1.830000,540000
2016-04-12,1.860000,1.880000,1.800000,1.810000,1.810000,274900
2016-04-13,1.850000,1.930000,1.810000,1.860000,1.860000,651300
2016-04-14,1.880000,1.900000,1.800000,1.830000,1.830000,386000
2016-04-15,1.820000,1.840000,1.760000,1.770000,1.770000,186800
2016-04-18,1.790000,1.810000,1.700000,1.710000,1.710000,229600
2016-04-19,1.740000,1.740000,1.700000,1.700000,1.700000,115200
2016-04-20,1.710000,1.750000,1.650000,1.650000,1.650000,358500
2016-04-21,1.650000,1.700000,1.650000,1.670000,1.670000,271400
2016-04-22,1.680000,1.770000,1.680000,1.760000,1.760000,183700
2016-04-25,1.760000,1.780000,1.680000,1.680000,1.680000,159100
2016-04-26,1.680000,1.730000,1.670000,1.730000,1.730000,181200
2016-04-27,1.670000,1.730000,1.670000,1.720000,1.720000,190200
2016-04-28,1.720000,1.740000,1.680000,1.700000,1.700000,172100
2016-04-29,1.690000,1.770000,1.640000,1.660000,1.660000,287600
2016-05-02,1.680000,1.730000,1.640000,1.680000,1.680000,207300
2016-05-03,1.680000,1.750000,1.660000,1.680000,1.680000,271800
2016-05-04,1.720000,1.740000,1.580000,1.580000,1.580000,446400
2016-05-05,1.580000,1.690000,1.580000,1.640000,1.640000,304900
2016-05-06,1.650000,1.720000,1.620000,1.720000,1.720000,296000
2016-05-09,1.760000,1.770000,1.690000,1.700000,1.700000,301500
